DATE,VALUE,Trend
2015-01-01,186.03,169.64402978581282
2015-02-01,177.11,169.3337872873037
2015-03-01,161.23,169.05356825639223
2015-04-01,138.92,168.7433257578831
2015-05-01,158.66,168.44309108190652
2015-06-01,189.48,168.1328485833974
2015-07-01,213.22,167.83261390742084
2015-08-01,207.75,167.5223714089117
2015-09-01,182.92,167.21212891040258
2015-10-01,155.45,166.911894234426
2015-11-01,142.37,166.60165173591687
2015-12-01,148.92,166.3014170599403
2016-01-01,172.11,165.99117456143117
2016-02-01,145.89,165.68093206292207
2016-03-01,129.25,165.39070520947803
2016-04-01,126.29,165.0804627109689
2016-05-01,141.79,164.78022803499235
2016-06-01,185.63,164.46998553648322
2016-07-01,216.08,164.16975086050664
2016-08-01,217.07,163.8595083619975
2016-09-01,180.49,163.5492658634884
2016-10-01,153.9,163.2490311875118
2016-11-01,137.71,162.93878868900268
2016-12-01,169.55,162.63855401302612
2017-01-01,165.81,162.328311514517
2017-02-01,131.37,162.01806901600787
2017-03-01,140.95,161.7378499850964
2017-04-01,129.55,161.42760748658728
2017-05-01,145.87,161.1273728106107
2017-06-01,170.16,160.81713031210157
2017-07-01,205.31,160.51689563612499
2017-08-01,194.4,160.20665313761586
2017-09-01,161.31,159.89641063910673
2017-10-01,147.27,159.59617596313018
2017-11-01,142.02,159.28593346462105
2017-12-01,166.64,158.98569878864447
2018-01-01,180.72,158.67545629013534
2018-02-01,135.46,158.36521379162622
2018-03-01,138.81,158.08499476071475
2018-04-01,127.38,157.77475226220562
2018-05-01,148.14,157.47451758622907
2018-06-01,171.94,157.16427508771994
2018-07-01,203.28,156.86404041174336
2018-08-01,201.46,156.55379791323423
2018-09-01,172.6,156.2435554147251
2018-10-01,153.7,155.94332073874853
2018-11-01,150.98,155.6330782402394
2018-12-01,159.13,155.33284356426284
2019-01-01,166.38,155.02260106575372
2019-02-01,140.54,154.7123585672446
2019-03-01,141.48,154.43213953633312
2019-04-01,117.5,154.121897037824
2019-05-01,136.3,153.82166236184742
2019-06-01,153.71,153.5114198633383
2019-07-01,193.39,153.2111851873617
2019-08-01,188.58,152.90094268885258
2019-09-01,166.67,152.59070019034345
2019-10-01,138.4,152.2904655143669
2019-11-01,139.67,151.98022301585777
2019-12-01,144.61,151.6799883398812
2020-01-01,139.84,151.36974584137207
2020-02-01,126.8,151.05950334286294
2020-03-01,120.6,150.76927648941893
2020-04-01,102.39,150.4590339909098
2020-05-01,111.96,150.15879931493322
2020-06-01,143.61,149.8485568164241
2020-07-01,187.67,149.5483221404475
2020-08-01,184.79,149.23807964193838
2020-09-01,145.38,148.92783714342926
2020-10-01,131.88,148.6276024674527
2020-11-01,121.57,148.31735996894358
2020-12-01,148.07,148.017125292967
2021-01-01,150.06,147.70688279445787
2021-02-01,147.63,147.39664029594874
2021-03-01,121.12,147.11642126503727
2021-04-01,113.66,146.80617876652815
2021-05-01,127.29,146.5059440905516
2021-06-01,168.22,146.19570159204247
2021-07-01,192.95,145.89546691606589
2021-08-01,194.83,145.58522441755676
2021-09-01,154.01,145.27498191904763
2021-10-01,134.96,144.97474724307105
2021-11-01,124.88,144.66450474456192
2021-12-01,130.44,144.36427006858537
2022-01-01,162.17,144.05402757007624
2022-02-01,133.94,143.74378507156712
2022-03-01,123.55,143.46356604065565
2022-04-01,114.13,143.15332354214652
2022-05-01,132.96,142.85308886616994
2022-06-01,158.69,142.54284636766081
2022-07-01,189.19,142.24261169168426
2022-08-01,187.59,141.93236919317513
2022-09-01,150.87,141.622126694666
2022-10-01,127.85,141.32189201868943
2022-11-01,126.65,141.0116495201803
2022-12-01,151.62,140.71141484420372
2023-01-01,137.08,140.4011723456946
2023-02-01,115.46,140.09092984718546
2023-03-01,123.53,139.810710816274
2023-04-01,107.38,139.50046831776487
2023-05-01,120.92,139.20023364178832
2023-06-01,146.78,138.8899911432792
2023-07-01,188.27,138.5897564673026
2023-08-01,187.17,138.27951396879348
2023-09-01,150.66,137.96927147028435
2023-10-01,128.93,137.66903679430777
2023-11-01,126.04,137.35879429579865
2023-12-01,136.81,137.0585596198221
