"date","United_States_all_sectors"
"2015-01-01","147916000"
"2015-02-01","147500000"
"2015-03-01","148657000"
"2015-04-01","148387000"
"2015-05-01","148055000"
"2015-06-01","148728000"
"2015-07-01","149282000"
"2015-08-01","148560000"
"2015-09-01","148915000"
"2015-10-01","149216000"
"2015-11-01","148544000"
"2015-12-01","149835000"
"2016-01-01","149158000"
"2016-02-01","148963000"
"2016-03-01","150355000"
"2016-04-01","149340000"
"2016-05-01","149976000"
"2016-06-01","150311000"
"2016-07-01","150065000"
"2016-08-01","150433000"
"2016-09-01","150429000"
"2016-10-01","150361000"
"2016-11-01","150334000"
"2016-12-01","150936000"
"2017-01-01","151095000"
"2017-02-01","150455000"
"2017-03-01","152073000"
"2017-04-01","150949000"
"2017-05-01","151783000"
"2017-06-01","152126000"
"2017-07-01","151550000"
"2017-08-01","152318000"
"2017-09-01","151662000"
"2017-10-01","152408000"
"2017-11-01","152355000"
"2017-12-01","152578000"
"2018-01-01","152693000"
"2018-02-01","152176000"
"2018-03-01","153250000"
"2018-04-01","152768000"
"2018-05-01","153586000"
"2018-06-01","153410000"
"2018-07-01","153368000"
"2018-08-01","153987000"
"2018-09-01","153229000"
"2018-10-01","153940000"
"2018-11-01","153616000"
"2018-12-01","154043000"
"2019-01-01","154428000"
"2019-02-01","152788000"
"2019-03-01","154726000"
"2019-04-01","154494000"
"2019-05-01","155069000"
"2019-06-01","154673000"
"2019-07-01","155192000"
"2019-08-01","155347000"
"2019-09-01","154958000"
"2019-10-01","156054000"
"2019-11-01","154991000"
"2019-12-01","156056000"
"2020-01-01","155663000"
"2020-02-01","154862000"
"2020-03-01","156217000"
"2020-04-01","156156000"
"2020-05-01","155927000"
"2020-06-01","156609000"
"2020-07-01","157379000"
"2020-08-01","156671000"
"2020-09-01","157003000"
"2020-10-01","157215000"
"2020-11-01","156589000"
"2020-12-01","157983000"
"2021-01-01","157172000"
"2021-02-01","155864000"
"2021-03-01","158790000"
"2021-04-01","158168000"
"2021-05-01","157963000"
"2021-06-01","158930000"
"2021-07-01","158919000"
"2021-08-01","159067000"
"2021-09-01","159138000"
"2021-10-01","158703000"
"2021-11-01","158373000"
"2021-12-01","160112000"
"2022-01-01","158858000"
"2022-02-01","158767000"
"2022-03-01","160644000"
"2022-04-01","159340000"
"2022-05-01","160010000"
"2022-06-01","160433000"
"2022-07-01","159929000"
"2022-08-01","160950000"
"2022-09-01","160582000"
"2022-10-01","160689000"
"2022-11-01","160567000"
"2022-12-01","161169000"
"2023-01-01","160518000"
"2023-02-01","159862000"
"2023-03-01","161412000"
"2023-04-01","160041000"
"2023-05-01","161235000"
"2023-06-01","161420000"
"2023-07-01","161131000"
"2023-08-01","162239000"
"2023-09-01","161462000"
"2023-10-01","161947000"
"2023-11-01","161586000"
"2023-12-01","161945000"
"2024-01-01","162505000"
"2024-02-01","163714000"
"2024-03-01","164267000"
