"date","total_sales"
"2015-01-01","249385"
"2015-02-01","229320"
"2015-03-01","224963"
"2015-04-01","194367"
"2015-05-01","204567"
"2015-06-01","239570"
"2015-07-01","274542"
"2015-08-01","273034"
"2015-09-01","247612"
"2015-10-01","212170"
"2015-11-01","196818"
"2015-12-01","218499"
"2016-01-01","241382"
"2016-02-01","219411"
"2016-03-01","205966"
"2016-04-01","190289"
"2016-05-01","202635"
"2016-06-01","245574"
"2016-07-01","284447"
"2016-08-01","291461"
"2016-09-01","252856"
"2016-10-01","214471"
"2016-11-01","198304"
"2016-12-01","231453"
"2017-01-01","238700"
"2017-02-01","200608"
"2017-03-01","210269"
"2017-04-01","193314"
"2017-05-01","208153"
"2017-06-01","242556"
"2017-07-01","279177"
"2017-08-01","270488"
"2017-09-01","237568"
"2017-10-01","216098"
"2017-11-01","203294"
"2017-12-01","231311"
"2018-01-01","263842"
"2018-02-01","216436"
"2018-03-01","215326"
"2018-04-01","198785"
"2018-05-01","217023"
"2018-06-01","251924"
"2018-07-01","285088"
"2018-08-01","288344"
"2018-09-01","250943"
"2018-10-01","223182"
"2018-11-01","208773"
"2018-12-01","231178"
"2019-01-01","245330"
"2019-02-01","218679"
"2019-03-01","220073"
"2019-04-01","192830"
"2019-05-01","211532"
"2019-06-01","235861"
"2019-07-01","284700"
"2019-08-01","280859"
"2019-09-01","253626"
"2019-10-01","223302"
"2019-11-01","205293"
"2019-12-01","229079"
"2020-01-01","234254"
"2020-02-01","215138"
"2020-03-01","208365"
"2020-04-01","189165"
"2020-05-01","199980"
"2020-06-01","241131"
"2020-07-01","294215"
"2020-08-01","281996"
"2020-09-01","241044"
"2020-10-01","213982"
"2020-11-01","197558"
"2020-12-01","235217"
"2021-01-01","241180"
"2021-02-01","224906"
"2021-03-01","217251"
"2021-04-01","192612"
"2021-05-01","205871"
"2021-06-01","251206"
"2021-07-01","282351"
"2021-08-01","288903"
"2021-09-01","250100"
"2021-10-01","216238"
"2021-11-01","204097"
"2021-12-01","224212"
"2022-01-01","254109"
"2022-02-01","228405"
"2022-03-01","220042"
"2022-04-01","201998"
"2022-05-01","223078"
"2022-06-01","257877"
"2022-07-01","298229"
"2022-08-01","295947"
"2022-09-01","253436"
"2022-10-01","211643"
"2022-11-01","210010"
"2022-12-01","245331"
"2023-01-01","242552"
"2023-02-01","213977"
"2023-03-01","220863"
"2023-04-01","198098"
"2023-05-01","210883"
"2023-06-01","239295"
"2023-07-01","293246"
"2023-08-01","297098"
"2023-09-01","256983"
"2023-10-01","219146"
"2023-11-01","209479"
"2023-12-01","227970"
"2024-01-01","257682"
"2024-02-01","224110"
"2024-03-01","212240"
